Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,519.0,8.0,29.0,1845.0,0.1,12.206999999999994,0.0,0.0,272.96105217933655,,,,,,,,,,,,,,,,,,,,,3.430962159035647,4.123246204640603,12.131753472579655,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,655.0,9.0,136.0,1981.0,0.1,71.40600000000003,0.0,0.0,284.9095582962036,,,,,,,,,,,,,,,,,,,,,30.414512729456206,18.22066575548845,67.40436759962564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,762.0,10.0,107.0,2088.0,0.1,65.50699999999995,0.0,0.0,294.43072724342346,,,,,,,,,,,,,,,,,,,,,24.591210143376518,20.23212713930468,63.001680874727306,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,856.0,11.0,94.0,2182.0,0.1,66.505,0.0,0.0,302.8030517101288,,,,,,,,,,,,,,,,,,,,,26.358637531312123,19.824147796473216,64.1555349864947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,948.0,12.0,92.0,2274.0,0.1,47.909,0.0,0.0,311.30472779273987,,,,,,,,,,,,,,,,,,,,,15.842741240555956,14.339991990434532,46.54451028192243,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,979.0,13.0,31.0,2305.0,0.1,14.305999999999994,0.0,0.0,314.34072279930115,,,,,,,,,,,,,,,,,,,,,4.230397637342088,4.845015829053367,14.203249969932292,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1030.0,14.0,51.0,2356.0,0.1,36.605,0.0,0.0,319.0984208583832,,,,,,,,,,,,,,,,,,,,,14.191472921583507,12.207446565070372,35.953105138170436,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,1081.0,15.0,51.0,2407.0,0.1,26.109000000000027,0.0,0.0,323.93561458587646,,,,,,,,,,,,,,,,,,,,,7.836381965105737,8.57836058542718,25.760840439818804,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,1140.0,16.0,59.0,2466.0,0.1,41.306999999999995,0.0,0.0,329.6245024204254,,,,,,,,,,,,,,,,,,,,,15.429767398292128,13.787818063631091,40.47755836266775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,1319.0,17.0,179.0,2645.0,0.1,103.20899999999999,0.0,0.0,345.18811440467834,,,,,,,,,,,,,,,,,,,,,43.510171688330786,28.746887676165034,95.6118072705226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
